owner,experiment,design,menu,config,n_hyperparams,era_touched,test_seen,role,duplicate_of,file,source_note,confirmed,U_select,U_test,key
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0382744087194682,0.0685541474964293,P-router pilot v3/M3/R1/SELECT-chosen/0.0/1.0
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0388458281388149,0.0684830456515482,P-router pilot v3/M3/R1/SELECT-chosen/0.01/1.0
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0400908316568614,0.0703175950298842,P-router pilot v3/M3/R1/SELECT-chosen/0.02/1.0
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0401728121288005,0.0730940043305038,P-router pilot v3/M3/R1/SELECT-chosen/0.05/1.0
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 10.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0377771390505541,0.0692383555200355,P-router pilot v3/M3/R1/SELECT-chosen/0.0/10.0
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 10.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0396319266577675,0.069137914669538,P-router pilot v3/M3/R1/SELECT-chosen/0.01/10.0
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 10.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0403893332973639,0.0711232397567448,P-router pilot v3/M3/R1/SELECT-chosen/0.02/10.0
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 10.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0407527502052541,0.0730940043305038,P-router pilot v3/M3/R1/SELECT-chosen/0.05/10.0
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 100.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.039874693902689,0.0708543910796976,P-router pilot v3/M3/R1/SELECT-chosen/0.0/100.0
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 100.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0405736773995615,0.0735661466397806,P-router pilot v3/M3/R1/SELECT-chosen/0.01/100.0
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 100.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0407527502052541,0.0730940043305038,P-router pilot v3/M3/R1/SELECT-chosen/0.02/100.0
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 100.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0407527502052541,0.0730940043305038,P-router pilot v3/M3/R1/SELECT-chosen/0.05/100.0
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 1000.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.040533860804715,0.0738834773511949,P-router pilot v3/M3/R1/SELECT-chosen/0.0/1000.0
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 1000.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0407527502052541,0.0730940043305038,P-router pilot v3/M3/R1/SELECT-chosen/0.01/1000.0
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 1000.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0407527502052541,0.0730940043305038,P-router pilot v3/M3/R1/SELECT-chosen/0.02/1000.0
T1,P-router pilot v3,R1,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 1000.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0407527502052541,0.0730940043305038,P-router pilot v3/M3/R1/SELECT-chosen/0.05/1000.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.032334835585958,0.0685142589205447,P-router pilot v3/M3/R2/SELECT-chosen/0.0/1.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0329538851160561,0.0680616216281684,P-router pilot v3/M3/R2/SELECT-chosen/0.01/1.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0333827789661581,0.0682854217118224,P-router pilot v3/M3/R2/SELECT-chosen/0.02/1.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0353210769142901,0.0667527873837547,P-router pilot v3/M3/R2/SELECT-chosen/0.05/1.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 2.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0342139700254671,0.0662878496874184,P-router pilot v3/M3/R2/SELECT-chosen/0.0/2.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 2.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0336716075716019,0.0661507694196091,P-router pilot v3/M3/R2/SELECT-chosen/0.01/2.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 2.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0382842936042809,0.0675245941842795,P-router pilot v3/M3/R2/SELECT-chosen/0.02/2.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 2.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0386710138347533,0.0669694088166272,P-router pilot v3/M3/R2/SELECT-chosen/0.05/2.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 4.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0342895277515627,0.0708628114690315,P-router pilot v3/M3/R2/SELECT-chosen/0.0/4.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 4.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0355424356826002,0.0688948259095311,P-router pilot v3/M3/R2/SELECT-chosen/0.01/4.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 4.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0393357480343716,0.0694913854420876,P-router pilot v3/M3/R2/SELECT-chosen/0.02/4.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 4.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0392108270107729,0.0683619757415623,P-router pilot v3/M3/R2/SELECT-chosen/0.05/4.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 8.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0338773892017776,0.070472486219992,P-router pilot v3/M3/R2/SELECT-chosen/0.0/8.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 8.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0353655847578022,0.0696847988670081,P-router pilot v3/M3/R2/SELECT-chosen/0.01/8.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 8.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.038898114604327,0.0679172809763459,P-router pilot v3/M3/R2/SELECT-chosen/0.02/8.0
T1,P-router pilot v3,R2,"M3={O1,O2,O3}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 8.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M3.csv,grid file lists U_test for every config,owner-confirmed,0.0402362603306351,0.0677650729173482,P-router pilot v3/M3/R2/SELECT-chosen/0.05/8.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0516975158978408,0.0833921164710119,P-router pilot v3/M4/R1/SELECT-chosen/0.0/1.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0523803113462026,0.0867709921759065,P-router pilot v3/M4/R1/SELECT-chosen/0.01/1.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0523436800429419,0.0871242806533912,P-router pilot v3/M4/R1/SELECT-chosen/0.02/1.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0502013233287586,0.0994873999284194,P-router pilot v3/M4/R1/SELECT-chosen/0.05/1.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 10.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0497875324010939,0.0830377280272282,P-router pilot v3/M4/R1/SELECT-chosen/0.0/10.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 10.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0481452323000115,0.0859230445318914,P-router pilot v3/M4/R1/SELECT-chosen/0.01/10.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 10.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0479436924335856,0.0921664012934837,P-router pilot v3/M4/R1/SELECT-chosen/0.02/10.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 10.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0410289443342638,0.105929729414559,P-router pilot v3/M4/R1/SELECT-chosen/0.05/10.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 100.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0444996773514187,0.0818095563540311,P-router pilot v3/M4/R1/SELECT-chosen/0.0/100.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 100.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.04184666931482,0.0961203331191108,P-router pilot v3/M4/R1/SELECT-chosen/0.01/100.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 100.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0331269825358827,0.1000740786308371,P-router pilot v3/M4/R1/SELECT-chosen/0.02/100.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 100.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0310430153013418,0.1122746436988564,P-router pilot v3/M4/R1/SELECT-chosen/0.05/100.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 1000.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0351668549520712,0.1117528258878475,P-router pilot v3/M4/R1/SELECT-chosen/0.0/1000.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 1000.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.037291046687699,0.1127632005358048,P-router pilot v3/M4/R1/SELECT-chosen/0.01/1000.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 1000.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0380207671909886,0.1127632005358048,P-router pilot v3/M4/R1/SELECT-chosen/0.02/1000.0
T1,P-router pilot v3,R1,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 1000.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0592266567581795,0.1127632005358048,P-router pilot v3/M4/R1/SELECT-chosen/0.05/1000.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0556165133584631,0.0801115213143633,P-router pilot v3/M4/R2/SELECT-chosen/0.0/1.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0542635277735003,0.0820035487319864,P-router pilot v3/M4/R2/SELECT-chosen/0.01/1.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0536457792037383,0.0830826501750117,P-router pilot v3/M4/R2/SELECT-chosen/0.02/1.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.05076603647168,0.0836164214131991,P-router pilot v3/M4/R2/SELECT-chosen/0.05/1.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 2.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0469624358426802,0.0889694745607971,P-router pilot v3/M4/R2/SELECT-chosen/0.0/2.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 2.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0401511829574382,0.0878771395480103,P-router pilot v3/M4/R2/SELECT-chosen/0.01/2.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 2.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0365434293584282,0.0882092470001733,P-router pilot v3/M4/R2/SELECT-chosen/0.02/2.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 2.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0458025444151161,0.0922979228217982,P-router pilot v3/M4/R2/SELECT-chosen/0.05/2.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 4.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0524083097432106,0.0911131508418092,P-router pilot v3/M4/R2/SELECT-chosen/0.0/4.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 4.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0506152615865338,0.0856604183593465,P-router pilot v3/M4/R2/SELECT-chosen/0.01/4.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 4.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0418766599196107,0.0870725908906409,P-router pilot v3/M4/R2/SELECT-chosen/0.02/4.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 4.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0399047491128693,0.0899316719845388,P-router pilot v3/M4/R2/SELECT-chosen/0.05/4.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 8.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.046965733781388,0.0920079021722411,P-router pilot v3/M4/R2/SELECT-chosen/0.0/8.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 8.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0395739316628103,0.091472893818389,P-router pilot v3/M4/R2/SELECT-chosen/0.01/8.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 8.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0360448774402525,0.0907265628202345,P-router pilot v3/M4/R2/SELECT-chosen/0.02/8.0
T1,P-router pilot v3,R2,"M4={O1,O2,O3,EW}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 8.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M4.csv,grid file lists U_test for every config,owner-confirmed,0.0279014711399217,0.0929972010634021,P-router pilot v3/M4/R2/SELECT-chosen/0.05/8.0
T1,P-router pilot v3,R1,"M5={EW,O5,O1}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M5.csv,grid file lists U_test for every config,owner-confirmed,0.0514926821432306,0.0836259627690476,P-router pilot v3/M5/R1/SELECT-chosen/0.0/1.0
T1,P-router pilot v3,R1,"M5={EW,O5,O1}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M5.csv,grid file lists U_test for every config,owner-confirmed,0.0504720382191396,0.0909104660027923,P-router pilot v3/M5/R1/SELECT-chosen/0.01/1.0
T1,P-router pilot v3,R1,"M5={EW,O5,O1}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M5.csv,grid file lists U_test for every config,owner-confirmed,0.0496459270819051,0.0912806292056238,P-router pilot v3/M5/R1/SELECT-chosen/0.02/1.0
T1,P-router pilot v3,R1,"M5={EW,O5,O1}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 1.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M5.csv,grid file lists U_test for every config,owner-confirmed,0.0516102223951503,0.1006400787102015,P-router pilot v3/M5/R1/SELECT-chosen/0.05/1.0
T1,P-router pilot v3,R1,"M5={EW,O5,O1}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 10.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M5.csv,grid file lists U_test for every config,owner-confirmed,0.0479986542293864,0.0855845840248764,P-router pilot v3/M5/R1/SELECT-chosen/0.0/10.0
T1,P-router pilot v3,R1,"M5={EW,O5,O1}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 10.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M5.csv,grid file lists U_test for every config,owner-confirmed,0.0479566986687253,0.0875554054212699,P-router pilot v3/M5/R1/SELECT-chosen/0.01/10.0
T1,P-router pilot v3,R1,"M5={EW,O5,O1}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 10.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M5.csv,grid file lists U_test for every config,owner-confirmed,0.0479243666366793,0.0923009069499552,P-router pilot v3/M5/R1/SELECT-chosen/0.02/10.0
T1,P-router pilot v3,R1,"M5={EW,O5,O1}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 10.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M5.csv,grid file lists U_test for every config,owner-confirmed,0.0413920253544671,0.1056064747439306,P-router pilot v3/M5/R1/SELECT-chosen/0.05/10.0
T1,P-router pilot v3,R1,"M5={EW,O5,O1}","{""default"": ""SELECT-chosen"", ""margin"": 0.0, ""p1"": 100.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M5.csv,grid file lists U_test for every config,owner-confirmed,0.046193038797226,0.0887980836243293,P-router pilot v3/M5/R1/SELECT-chosen/0.0/100.0
T1,P-router pilot v3,R1,"M5={EW,O5,O1}","{""default"": ""SELECT-chosen"", ""margin"": 0.01, ""p1"": 100.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M5.csv,grid file lists U_test for every config,owner-confirmed,0.0411731993444243,0.0964613256883639,P-router pilot v3/M5/R1/SELECT-chosen/0.01/100.0
T1,P-router pilot v3,R1,"M5={EW,O5,O1}","{""default"": ""SELECT-chosen"", ""margin"": 0.02, ""p1"": 100.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M5.csv,grid file lists U_test for every config,owner-confirmed,0.032464750215041,0.1003362635598284,P-router pilot v3/M5/R1/SELECT-chosen/0.02/100.0
T1,P-router pilot v3,R1,"M5={EW,O5,O1}","{""default"": ""SELECT-chosen"", ""margin"": 0.05, ""p1"": 100.0}",2,SELECT+TEST,True,router,,router0923/exp/T1/results/pilot_grid_M5.csv,grid file lists U_test for every config,owner-confirmed,0.0312887406091223,0.1120748794256132,P-router pilot v3/M5/R1/SELECT-chosen/0.05/100.0
